model,subject,acc,prec,rec,f1
TCN,subject01,0.6666666666666666,1.0,0.5,0.6666666666666666
TCN,subject02,1.0,1.0,1.0,1.0
TCN,subject03,0.8333333333333334,1.0,0.75,0.8571428571428571
TCN,subject04,0.8333333333333334,0.8,1.0,0.8888888888888888
TCN,subject05,0.6666666666666666,1.0,0.5,0.6666666666666666
TCN,subject06,1.0,1.0,1.0,1.0
TCN,subject07,0.5,1.0,0.25,0.4
TCN,subject08,1.0,1.0,1.0,1.0
TCN,subject09,1.0,1.0,1.0,1.0
TCN,subject10,0.8333333333333334,0.8,1.0,0.8888888888888888
TCN,subject11,1.0,1.0,1.0,1.0
TCN,subject12,0.8333333333333334,1.0,0.75,0.8571428571428571
TCN,subject13,0.6666666666666666,0.75,0.75,0.75
TCN,subject14,0.8333333333333334,1.0,0.75,0.8571428571428571
TCN,subject15,1.0,1.0,1.0,1.0
TCN,subject16,1.0,1.0,1.0,1.0
TCN,subject17,0.6666666666666666,1.0,0.5,0.6666666666666666
TCN,subject18,1.0,1.0,1.0,1.0
TCN,subject19,0.8333333333333334,1.0,0.75,0.8571428571428571
TCN,subject20,1.0,1.0,1.0,1.0
TCN,subject21,1.0,1.0,1.0,1.0
TCN,subject22,1.0,1.0,1.0,1.0
TCN,subject23,1.0,1.0,1.0,1.0
TCN,subject24,1.0,1.0,1.0,1.0
TCN,subject25,0.6666666666666666,0.75,0.75,0.75
TCN,subject26,0.8333333333333334,0.8,1.0,0.8888888888888888
TCN,subject27,0.6666666666666666,0.75,0.75,0.75
TCN,subject28,0.8333333333333334,0.8,1.0,0.8888888888888888
TCN,subject29,0.6666666666666666,1.0,0.5,0.6666666666666666
TCN,subject30,1.0,1.0,1.0,1.0
TCN,subject31,1.0,0.0,0.0,0.0
TCN,subject32,1.0,0.0,0.0,0.0
TCN,subject33,1.0,0.0,0.0,0.0
TCN,subject34,1.0,0.0,0.0,0.0
TCN,subject35,1.0,0.0,0.0,0.0
TCN,subject36,1.0,0.0,0.0,0.0
TCN,subject37,1.0,0.0,0.0,0.0
TCN,subject38,1.0,0.0,0.0,0.0
TCN,subject39,1.0,0.0,0.0,0.0
TCN,subject40,1.0,0.0,0.0,0.0
TCN + Attention,subject01,0.6666666666666666,1.0,0.5,0.6666666666666666
TCN + Attention,subject02,1.0,1.0,1.0,1.0
TCN + Attention,subject03,0.8333333333333334,1.0,0.75,0.8571428571428571
TCN + Attention,subject04,1.0,1.0,1.0,1.0
TCN + Attention,subject05,0.5,0.6666666666666666,0.5,0.5714285714285714
TCN + Attention,subject06,1.0,1.0,1.0,1.0
TCN + Attention,subject07,1.0,1.0,1.0,1.0
TCN + Attention,subject08,1.0,1.0,1.0,1.0
TCN + Attention,subject09,0.6666666666666666,0.75,0.75,0.75
TCN + Attention,subject10,1.0,1.0,1.0,1.0
TCN + Attention,subject11,1.0,1.0,1.0,1.0
TCN + Attention,subject12,0.8333333333333334,0.8,1.0,0.8888888888888888
TCN + Attention,subject13,0.8333333333333334,1.0,0.75,0.8571428571428571
TCN + Attention,subject14,1.0,1.0,1.0,1.0
TCN + Attention,subject15,1.0,1.0,1.0,1.0
TCN + Attention,subject16,0.8333333333333334,0.8,1.0,0.8888888888888888
TCN + Attention,subject17,0.6666666666666666,1.0,0.5,0.6666666666666666
TCN + Attention,subject18,1.0,1.0,1.0,1.0
TCN + Attention,subject19,1.0,1.0,1.0,1.0
TCN + Attention,subject20,0.8333333333333334,0.8,1.0,0.8888888888888888
TCN + Attention,subject21,1.0,1.0,1.0,1.0
TCN + Attention,subject22,0.8333333333333334,0.8,1.0,0.8888888888888888
TCN + Attention,subject23,0.5,0.6666666666666666,0.5,0.5714285714285714
TCN + Attention,subject24,1.0,1.0,1.0,1.0
TCN + Attention,subject25,0.6666666666666666,0.75,0.75,0.75
TCN + Attention,subject26,0.6666666666666666,0.6666666666666666,1.0,0.8
TCN + Attention,subject27,0.6666666666666666,1.0,0.5,0.6666666666666666
TCN + Attention,subject28,0.8333333333333334,0.8,1.0,0.8888888888888888
TCN + Attention,subject29,0.8333333333333334,1.0,0.75,0.8571428571428571
TCN + Attention,subject30,1.0,1.0,1.0,1.0
TCN + Attention,subject31,0.5,0.0,0.0,0.0
TCN + Attention,subject32,0.5,0.0,0.0,0.0
TCN + Attention,subject33,1.0,0.0,0.0,0.0
TCN + Attention,subject34,0.5,0.0,0.0,0.0
TCN + Attention,subject35,1.0,0.0,0.0,0.0
TCN + Attention,subject36,1.0,0.0,0.0,0.0
TCN + Attention,subject37,1.0,0.0,0.0,0.0
TCN + Attention,subject38,1.0,0.0,0.0,0.0
TCN + Attention,subject39,1.0,0.0,0.0,0.0
TCN + Attention,subject40,1.0,0.0,0.0,0.0
